"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2  - Daily Ice Area by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1857074,14217538.07,1053764.79,951822.75,1083675.55,881468.94,912773.82,765960.25,689071.74,1248966.94,849389.75,1243281.23,3199223.95,674713.59,96373.52,566938.67,0,47.64
1857105,14057639.73,1040560.51,938999.11,1085321.68,884215.18,916277.37,726828.74,741059.05,1209958.4,852154.66,1209101.6,3208407.03,755862.22,49228.45,439539.5,0,60.63
1857135,13455150.5,1043857.2,948319.5,1083068.27,877029.93,909955.92,648281.1,760995.12,995353.36,854023.17,1198190.66,3204681.86,621805.25,15521.8,294002.42,0,0
1857166,11586427.79,994654.13,766696.18,1068028.63,828729.53,855316.48,475701.49,560276.12,700630.58,823479.14,959492.8,3199377.97,345167.5,0,8811.64,0,0
1857196,10146543.27,955315.76,784712.14,1025671.79,785164.63,649451.92,334239.99,634353.55,423719.13,706925.52,468276.7,3176643.21,123044.99,0,78958.34,0,0
1857227,7303534.44,866893.78,642627.86,871198.2,447486.43,286954.05,25606.53,209906.31,103048.09,593887.72,135861.46,3110076.23,8617.28,0,1304.91,0,0
1857258,6611869.36,842368.55,594869.43,762491.6,437633.78,197038.33,49175.07,205731.19,47700.99,491300.79,52442.52,2927728.04,2075.33,0,1253.38,0,0
1857288,6640241.14,841783.8,625901.29,762491.6,437633.78,197038.33,49175.07,205731.19,47700.99,491300.79,52442.52,2927728.04,0,0,1253.38,0,0
1857319,10945761.65,1058550.56,956675.63,1085599.71,891252.58,836349.22,463137.79,495569.33,554634.35,860091.71,374212.56,3201195.66,141644.27,0,26782.69,0,0
1857349,12799092.48,1059755.79,958412.34,1084873.43,889663.48,891749.99,571135.67,606317.31,824243.54,861926.32,1146449.2,3197102.38,400449.61,32473.97,274473.85,0,0
1858015,14269701.92,1058700.39,953144.65,1084324.71,888646.75,931562.13,789080.43,601817.29,1415681.38,857466.74,1265083.15,3194173.41,596290.91,82501.93,551128.63,0,0
1858046,15249738.25,1057672.88,956605,1084132.01,891608.93,935085.91,860461.91,681446.56,1801868.34,856592.57,1264836.72,3200383.91,684263.63,180025.14,793632.25,0,0
1858074,14261845.33,1053630.86,951232.24,1083827.38,880855.35,914081.02,771757.51,713464.16,1274156.08,849749.89,1242498.64,3206741.43,689341.47,78516.34,551888.4,0,38.98
1858105,14130766.73,1039651.24,940518.12,1085288.57,884537.72,915663.84,750233.97,733691.79,1208598.43,851815.35,1207816.29,3203545.85,813554.28,60316.03,435422.03,0,47.64
1858135,13522666.79,1043293.23,939238.57,1083432.68,875729.94,904793.49,654928.09,726830.59,1026652.36,832908.22,1140209.37,3205107.69,795834.19,14167.77,279423.02,0,51.97
1858166,12079296.02,983738.48,798977.7,1071401.2,847199.74,831721.04,486111.15,620000.04,869859.9,811048.35,972557.76,3201941.02,482243.08,0,102430.95,0,0
1858196,9071576.51,888066.7,716029.27,952446.93,655149.25,564727.44,245888.47,456839.01,347054.9,622646.67,415885.76,3085399.88,65054.59,0,56323.36,0,0
1858227,6997026.75,887886.24,586416.38,658348.9,311424.09,362213.41,51837.63,147608.24,97012.45,599286.9,155768.72,3138337.14,0,0,821.04,0,0
1858258,6644061.81,830074.51,584479.97,748218.39,420448.06,196219.3,56420.75,228485.28,43268.71,516250.5,50670.21,2969464.47,0,0,0,0,0
1858288,6692923.79,830376.85,633039.62,748218.39,420448.06,196219.3,56420.75,228485.28,43268.71,516250.5,50670.21,2969464.47,0,0,0,0,0
1858319,10945761.65,1058550.56,956675.63,1085599.71,891252.58,836349.22,463137.79,495569.33,554634.35,860091.71,374212.56,3201195.66,141644.27,0,26782.69,0,0
1858349,12799092.48,1059755.79,958412.34,1084873.43,889663.48,891749.99,571135.67,606317.31,824243.54,861926.32,1146449.2,3197102.38,400449.61,32473.97,274473.85,0,0
1859015,14258425.02,1058505.91,956106.77,1084705.04,890545.38,934744.14,698940.99,605663.49,1410470.86,859576.89,1263810.63,3178529.76,712935.26,44646.8,558254.19,0,138.59
1859046,15146182.67,1057586.61,957848.13,1085668.5,890650.4,933885.89,709103.52,670306.59,1739269.5,855945.68,1263030.17,3200028.54,710345.57,74618.32,996778.94,0,0
1859074,14486756.29,1050647.95,949347.66,1082036.04,879702.22,912887.38,742496.72,798042.12,1338964.7,852577.84,1244725.12,3208622.66,840871.06,71818.73,513876.88,0,73.62
1859105,14111617.8,1039611.15,938257.99,1085041.57,882203.9,913390.09,694359.25,792756.42,1210050.99,848505.37,1202808.85,3207289.48,801169.26,49105.7,446937.22,0,64.96
1859135,13504646.6,1043457.21,937312.27,1083028.52,875151.21,903749.85,647131.53,724308.64,1033962.27,831557.83,1140894.71,3204780.72,803318.5,13768.81,262106.95,0,51.97
1859166,12027611.69,985924.72,853977.12,1067921.63,838453.08,821306.83,456908.45,616106.93,816041.71,799528,938910.64,3198615.41,530952.75,0,102898.83,0,0
1859196,10193664.69,1036617.65,750020.39,1083280.75,885222.36,629866.99,171446.55,367979.03,651850.28,750523.97,620861.25,3159885.73,85942.47,0,101.67,0,0
1859227,6964277.23,822249.47,602045.6,744655.36,468150.04,323401.96,91856.55,243865.92,155585.16,507526.61,129316.63,2870644.17,341.6,0,4578.49,0,0
1859258,6931123.93,870645.57,600446.93,798777.82,485075.34,231010.87,64786.44,245571.13,72345.24,560295.6,59595,2942140.07,372.9,0,0,0,0
1859288,8044373.41,929410.75,642153.65,954509.4,681487.28,437864.66,140376.18,310389.62,161470.57,695916.42,58350.75,3023525.23,7865.95,0,993.25,0,0
1859319,10700088.37,1059087.6,805725.9,1084254.86,891564.33,840601.87,418880.84,508729.38,577522.78,861855.27,413548.84,3185425.86,37800.39,0,15024.86,0,0
1859349,13041375.66,1059554.27,953711.37,1083672.44,889633.3,929208.72,652255.1,665234.56,886132.26,861084.7,1246018.74,3195088.93,307384.35,32402.71,279929.26,0,0
1860015,14458283.62,1058765.78,956003.8,1085021.18,890097.39,934917,781637.9,721122.42,1414369.08,860196.51,1263792.64,3197901.92,577741.12,46679.38,669249.09,0,0
1860046,15330008.11,1056696.25,957684.09,1085271.8,890855.37,935438.7,800479.53,751691.9,1772243.72,855434.21,1264585.79,3204865.89,711042.93,82428.68,959620.18,0,0
1860075,14494852.4,1052405.99,949087.92,1082163.49,880140.94,912889.13,719771.94,801371.9,1356224.46,853996.89,1245835.94,3208058.95,844692.39,69395.79,518673.12,0,77.95
1860106,14128559.47,1039651.24,940518.12,1085288.57,884537.72,915663.84,750233.97,772508.92,1208598.43,851815.35,1207816.29,3203542.38,778609.55,60408.57,429253.29,0,47.64
1860136,13542125.23,1043222.43,933766.17,1083033.75,875419.91,904179.18,678601.45,719753.48,1049721.7,833501.83,1151122.11,3205187.63,791881.17,14093.83,258523.01,0,51.97
1860167,12080299.73,993669.74,834855.47,1071595.15,841013.77,849745.91,436930.61,652597.75,786670.32,790183.55,911923.93,3191058.5,571389.18,4338.84,144261.42,0,0
1860197,9432368.19,945437.7,816271.28,1039924.13,729393.31,655650.42,173513.21,271015.06,330749.4,734366.21,532320.62,3156341.88,43927.79,0,3391.56,0,0
1860228,7331190.98,926185.47,645250.48,681425.16,366505.97,375867.72,61055.55,228764.58,123695.16,626876.22,147141.39,3147308.89,0,0,1048.81,0,0
1860259,6630515.17,868138.64,594784.66,859049.43,404002.64,177451.65,13889.43,213287.46,69851.44,482468.07,62191.89,2884694.72,645.45,0,0,0,0
1860289,7916946.09,900397.93,589205.28,975011.16,692359.52,436115.61,131155.27,255632.68,211536.32,695957.86,58624.6,2968909.58,1981.25,0,0,0,0
1860320,10700088.37,1059087.6,805725.9,1084254.86,891564.33,840601.87,418880.84,508729.38,577522.78,861855.27,413548.84,3185425.86,37800.39,0,15024.86,0,0
1860350,13041375.66,1059554.27,953711.37,1083672.44,889633.3,929208.72,652255.1,665234.56,886132.26,861084.7,1246018.74,3195088.93,307384.35,32402.71,279929.26,0,0
1861015,14258425.02,1058505.91,956106.77,1084705.04,890545.38,934744.14,698940.99,605663.49,1410470.86,859576.89,1263810.63,3178529.76,712935.26,44646.8,558254.19,0,138.59
1861046,15146182.67,1057586.61,957848.13,1085668.5,890650.4,933885.89,709103.52,670306.59,1739269.5,855945.68,1263030.17,3200028.54,710345.57,74618.32,996778.94,0,0
1861074,14487481.46,1050571.22,949292.8,1082003.04,879811.2,912674.49,745784.96,777397.99,1352625.12,852886.93,1244799.28,3212938.65,847613.12,64084.62,514854.49,0,77.95
1861105,14021234.76,1036485.4,937712.64,1084038.2,876093,907907.64,679854.71,765036.61,1173632.21,839622.86,1190520.81,3203948.1,801913.58,52168.24,472183.19,0,51.97
1861135,13324271.91,1028688.3,927850.51,1083114.86,876238.06,903808.64,649424.05,683001.38,1033246.6,838537.9,1126410.46,3204547.43,721498.96,9584.39,238220.11,0,34.65
1861166,12162108.7,983738.48,844676.49,1071401.2,847199.74,831721.04,486111.15,648588.28,869859.9,811048.35,972557.76,3200055.01,492654.75,0,102430.95,0,0
1861196,9718850.34,926788.31,777342.68,1000778.16,737839.42,602118.66,293273.85,560948.24,391819.76,676905.09,447362.58,3137002.85,96998.73,0,69606.41,0,0
1861227,7190903.17,907988.68,667826.1,797177.78,419274.72,290486.37,74015.02,175381.45,59423.35,587561.12,131572.85,3078377.65,0,0,1754.44,0,0
1861258,6897592.7,858790.34,625672.1,782627.51,482646.31,251422.96,67665.35,249314.62,63491.37,499158.38,46585.45,2967495.09,2662.2,0,0,0,0
1861288,8011150.8,890362.29,621685.05,866803.12,641906.84,392124.88,152890.42,371064.27,207388.76,670280.09,85043.06,3069085.9,40330.67,0,2122.47,0,0
1861319,10778593.36,1059369.31,883578.77,1084627.15,891322.88,875335.63,443997.13,546243.23,551090.92,860428.19,303082.98,3191389.74,52439.14,0,35622.7,0,0
1861349,13088274.87,1059070.53,953878.67,1085349.29,890001.55,929290.13,650170.73,651600.89,836384,860264.5,1231772.25,3198463.53,388459.19,28227.12,325276.89,0,0
1862015,14258425.02,1058505.91,956106.77,1084705.04,890545.38,934744.14,698940.99,605663.49,1410470.86,859576.89,1263810.63,3178529.76,712935.26,44646.8,558254.19,0,138.59
1862046,15146182.67,1057586.61,957848.13,1085668.5,890650.4,933885.89,709103.52,670306.59,1739269.5,855945.68,1263030.17,3200028.54,710345.57,74618.32,996778.94,0,0
1862074,14511345.5,1050571.22,949292.8,1082003.04,879811.2,912674.49,745784.96,801262.03,1352625.12,852886.93,1244799.28,3212938.65,847613.12,64084.62,514854.49,0,77.95
1862105,14036488.15,1038170.72,939519.52,1084722.94,880673.57,911547.86,700865.63,749552.7,1181121.29,845027.19,1199735.88,3205481.21,783239.03,57462.78,459250.25,0,51.97
1862135,13394202.84,1043222.43,928912.91,1083033.75,875419.91,904179.18,678730.7,749977.6,1049721.7,833501.83,1151122.11,3207834.39,620480.91,14093.83,253854.01,0,51.97
