"(G10010) Gridded Monthly Sea Ice Extent and Concentration, 1850 Onward, Version 2 - Daily Ice Extent by Region in Square Kilometers on the 15th of each month",,,,,,,,,,,,,,,,,
YYYYDDD,Northern_Hemisphere,Beaufort_Sea,Chukchi_Sea,East_Siberian_Sea,Laptev_Sea,Kara_Sea,Barents_Sea,Greenland_Sea,Baffin_Bay_Gulf_of_St._Lawrence,Canadian_Archipelago,Hudson_Bay,Central_Arctic,Bering_Sea,Baltic_Sea,Sea_of_Okhotsk,Yellow_Sea,Cook_Inlet
1855046,16585731.47,1061363.42,958779.67,1085864.77,892614.79,937165.12,970161.48,877561.69,2117098.6,864497.59,1267354.07,3216316.32,932093.1,236240,1166812.43,0,0
1855074,16234578.28,1061907.23,958779.67,1085864.77,887794.9,925237.15,1008915.59,1200474.9,1719033.81,863327.56,1265801.17,3215959.05,1178311.59,125604.97,737500.31,0,0
1855105,16251608.9,1061907.23,958779.67,1085864.77,888012.52,925237.15,1067170.88,1247216.92,1646414.46,863327.56,1266116.68,3215959.05,1171648.68,138228.53,715659.21,0,0
1855135,15922384.15,1061907.23,958779.67,1085864.77,888012.52,925237.15,1051603.56,1112932.15,1447369.98,863327.56,1266116.68,3216316.32,1369064.68,34916.98,640869.3,0,0
1855166,14303228.7,1061907.23,944638.07,1085864.77,888012.52,925237.15,784094.56,1032410.95,1319382.72,863327.56,1266116.68,3216316.32,673070.08,0,242784.5,0,0
1855196,13024327.31,1061907.23,958779.67,1085864.77,887148.51,913272.17,599436.1,852625.94,918410.06,845814.54,1109745.42,3213175.74,290890.6,0,287190.96,0,0
1855227,10607938.36,1061907.23,919392.38,1085864.77,873051.21,772411.05,402577.64,667705.5,446704.92,789808.94,256411.2,3205548.76,97649.94,0,28839.23,0,0
1855258,9129449.24,1046515.91,834581.53,1085320.95,694617.84,408718.68,206296.01,541336.18,125809.77,716405.15,219108.73,3215959.05,34713.83,0,0,0,0
1855288,9805818.84,1058312.64,786904.83,1084802.4,892614.79,740828.11,422373.72,465309.17,174188.92,846981.85,100139.9,3216054.91,14348.8,0,2893.2,0,0
1855319,11758708.23,1061363.42,958779.67,1085864.77,892614.79,937165.12,664492.67,640430.56,639342.51,864497.59,487801.16,3216316.32,252783.57,0,57190.48,0,0
1855349,14290764.57,1061363.42,958779.67,1085864.77,892614.79,937165.12,976901.27,917293.84,919182.96,864497.59,1267354.07,3216316.32,566047.74,98992.2,528325.21,0,0
1856015,15614072.64,1061363.42,958779.67,1085864.77,892614.79,937165.12,926679.01,759101.15,1771349.13,864497.59,1267354.07,3216316.32,792889.09,109779.71,970253.21,0,0
1856046,16585731.47,1061363.42,958779.67,1085864.77,892614.79,937165.12,970161.48,877561.69,2117098.6,864497.59,1267354.07,3216316.32,932093.1,236240,1166812.43,0,0
1856075,16182629.45,1061907.23,958779.67,1085864.77,887794.9,925237.15,1029963.96,1224700.48,1682117.71,863327.56,1265801.17,3215959.05,1142271.69,97198.57,741639.92,0,0
1856106,16161806.64,1061907.23,958779.67,1085864.77,888012.52,925237.15,1039291.97,1246386.7,1625340.69,863327.56,1265801.17,3215959.05,1140830.92,130535.32,714466.31,0,0
1856136,15848695.91,1061907.23,958779.67,1085864.77,888012.52,925237.15,988997.37,1170104.73,1473745.27,863327.56,1266116.68,3216316.32,1395061.6,27448.26,527711.17,0,0
1856167,14485744.85,1061907.23,929116.3,1085864.77,888012.52,925237.15,773873.32,1108327.47,1357821.97,863327.56,1265801.17,3216316.32,763370.67,0,246702.8,0,0
1856197,13322477.36,1061907.23,940396.92,1085864.77,887148.51,913562.9,605738.7,1078082.64,916377.97,833093.41,1151008.93,3216316.32,367883.8,0,265029.67,0,0
1856228,10455863.7,1061907.23,885282.11,1083986.67,881035.03,703429.4,174961.11,858970.03,431079.89,781044.54,259978.05,3216316.32,81663.06,0,36144.67,0,0
1856259,9023666.18,1016001.5,905035.85,1065310.4,692918.12,387887.82,188618.54,526712.06,110078.56,698220.2,205703.77,3215959.05,11154.72,0,0,0,0
1856289,10194033.22,1061635.32,756067.87,1085864.77,887148.51,792963.3,384107.76,468266.57,533883.78,845033.08,161723.54,3215959.05,1314.07,0,0,0,0
1856320,12188153.96,1061363.42,797184.59,1085864.77,892614.79,887258.58,527699.56,634756.38,844616.46,864497.59,1219676.4,3216316.32,81671.84,0,74567.68,0,0
1856350,14118651.95,1061363.42,958779.67,1085864.77,892614.79,937165.12,792099.98,926385.78,1266659.13,864497.59,1267354.07,3216316.32,406360.49,76801.56,366323.66,0,0
1857015,15528126.25,1061363.42,958779.67,1085864.77,892614.79,937165.12,955695.17,785102.24,1752972.79,864497.59,1267354.07,3216316.32,725885.53,135402.49,889046.69,0,0
1857046,16710460.89,1061363.42,958779.67,1085864.77,892614.79,937165.12,1075431.93,908372.47,2141420.49,864497.59,1267354.07,3216316.32,911399.86,267906.37,1120165.58,0,0
1857074,16251067.41,1061907.23,958779.67,1085864.77,888665.37,925237.15,1103922.37,1167639.54,1613941.53,863327.56,1265801.17,3215959.05,1151696.08,193441.27,754819.04,0,0
1857105,16328201.28,1061907.23,958779.67,1085864.77,888012.52,925237.15,1083403.71,1285626.1,1645967.35,863327.56,1265801.17,3215959.05,1197223.75,136693.4,714332.25,0,0
1857135,15411684.64,1061635.32,958779.67,1085864.77,891737.87,933047.67,920778.98,1070255.8,1205720.31,865373.4,1267044.72,3216316.32,1300614.34,60909.47,573540.42,0,0
1857166,13491244.79,1061635.32,835043.97,1085864.77,891737.87,933047.67,770296.64,846367.24,975885.04,865373.4,1246569.54,3216316.32,747975.32,0,15066.09,0,0
1857196,13188408.44,1061907.23,910139.9,1085864.77,887148.51,913562.9,598813.85,1072470.88,916377.97,833093.41,1151008.93,3215959.05,276965.78,0,265029.67,0,0
1857227,9061957.43,1004736.91,842219.27,1049068.01,657347.79,560544.05,59287.28,372907.36,270012.06,812215.95,222806.62,3189935.82,20810.7,0,0,0,0
1857258,8654982.49,1040432.68,771218.66,1053736.94,690437.31,394139.82,124161.32,391266.88,96718.54,678915.5,192011.38,3213850.68,8027.19,0,0,0,0
1857288,8747038.36,1039452.96,872281.44,1053736.94,690437.31,394139.82,124161.32,391266.88,96718.54,678915.5,192011.38,3213850.68,0,0,0,0,0
1857319,12020678.84,1061363.42,958779.67,1085864.77,892614.79,935113.3,627319.35,647710.66,657638.61,864497.59,725980.56,3216316.32,272321.97,0,75092.24,0,0
1857349,14080948.1,1061363.42,958779.67,1085864.77,892614.79,937165.12,807785.93,877459.44,946380.17,864497.59,1267354.07,3216316.32,594276.21,112413.47,458611.52,0,0
1858015,15528126.25,1061363.42,958779.67,1085864.77,892614.79,937165.12,955695.17,785102.24,1752972.79,864497.59,1267354.07,3216316.32,725885.53,135402.49,889046.69,0,0
1858046,16710460.89,1061363.42,958779.67,1085864.77,892614.79,937165.12,1075431.93,908372.47,2141420.49,864497.59,1267354.07,3216316.32,911399.86,267906.37,1120165.58,0,0
1858074,16277341.46,1061907.23,958779.67,1085864.77,888665.37,925237.15,1084992.41,1206515.98,1649261.66,863327.56,1265801.17,3215959.05,1139022.88,179419.12,752521.82,0,0
1858105,16317559.69,1061907.23,958779.67,1085864.77,888012.52,925237.15,1103627,1253906.37,1609227.62,863327.56,1265801.17,3215959.05,1255964.01,148327.94,681552.01,0,0
1858135,16021103.75,1061907.23,958779.67,1085864.77,888012.52,925237.15,1026054.9,1250720.16,1508574.7,863327.56,1265801.17,3215959.05,1303617.32,36088.02,631093.94,0,0
1858166,14426054.11,1061907.23,897468.62,1085864.77,888012.52,925237.15,773873.32,1028723.6,1357821.97,863327.56,1266116.68,3216316.32,814615.97,0,246702.8,0,0
1858196,12549294.45,1061907.23,872852.73,1085864.77,887148.51,914488.71,516867.36,911675.7,849462.43,838088.05,1108564.94,3216316.32,140073.9,0,145918.2,0,0
1858227,8885600.94,1034214.36,743255.89,1004367.82,496434.8,606752.09,128755.68,336970.57,258103.09,813036.8,263142.55,3200054.76,0,0,446.93,0,0
1858258,8631844.2,1025203.87,733478.21,1049693.3,688027.57,394050.97,147938.32,417731.06,63800.56,702120.85,195883.2,3213850.68,0,0,0,0,0
